,song3,song2,song1,Unnamed: 0,chorus,conf,school,score_1,score_2,score_3,score_final,songs,sr_1,sr_2,sr_3,sr_final
0,Exsultate Justi,Sing to the Lord,Now Thank We All Our God,0,Mixed,CCVarsity,,1,1,1,1,Now Thank We All Our God (SAB) (accomp) (Bach/Hopson) Sing to the Lord (SAB) (a cappella) (Crocker) Exsultate Justi (Miller),1,1,1,1
1,Tongo,Come in from the Firefly Darkness,Ma Bella Bimba,1,Mixed,CNon-Varsity,,2,3,2,2,Ma Bella Bimba (Moore) Come in from the Firefly Darkness (Bernon) Tongo (Gilpin),3,3,2,3
2,"Are You With Me, Men?",She Walks in Beauty,Sinner Man,2,Tenor/Bass,CCNon-Varsity,,1,1,1,1,"Sinner Man  (Anon. or Trad./Emerson) She Walks in Beauty  (Farnell) Are You With Me, Men?  (Courtney)",1,1,1,1
3,Aya Ngena,She Walks in Beauty,Rest Not,3,Tenor/Bass,CCVarsity,,2,1,1,1,Rest Not (TB) (accomp) (Farnell) She Walks in Beauty (TB) (accomp) (Farnell) Aya Ngena (Gray),1,1,1,1
4,Benedictus,Sons Of Art,She Walks in Beauty,4,Tenor/Bass,CCNon-Varsity,,1,1,1,1,She Walks in Beauty (TB) (accomp) (Farnell) Sons Of Art (a cappella) (Anon. or Trad./Crocker/Leavitt) Benedictus (accomp) (Schram),1,1,1,1
5,Benedictus,Songs of Art,She Walks in Beauty,5,Tenor/Bass,CCCNon-Varsity,,1,1,1,1,She Walks in Beauty (TB) (accomp) (Farnell) Songs of Art (TB) (accomp) (Purcell/Rentz) Benedictus (accomp) (Schram),1,1,1,1
6,Keep Your Lamps Trimmed and Burning,Shoshone Love Song,Travel,6,Tenor/Bass,CCVarsity,,1,1,1,1,Travel (Beery) Shoshone Love Song (Emerson) Keep Your Lamps Trimmed and Burning (Gilpin),1,1,1,1
7,New River Train,Sons of Art,My Love Has Gone Away,7,Tenor/Bass,CCNon-Varsity,,1,1,1,1,My Love Has Gone Away (Courtney) Sons of Art (Crocker) New River Train (Moore),1,1,1,1
8,Wade in the Water,Boatmen Stomp,None of Us Cared for Kate,8,Tenor/Bass,CCNon-Varsity,,1,1,1,1,None of Us Cared for Kate  (Farnell ) Boatmen Stomp  (Gray ) Wade in the Water  (Dan Davison ),1,1,1,1
9,Battle Above the Clouds,Benedictus,Set Me As a Seal Upon Your Heart,9,Tenor/Bass,CNon-Varsity,,1,1,1,1,Set Me As a Seal Upon Your Heart (TB) (accomp) (Farnell) Benedictus (accomp) (Schram) Battle Above the Clouds (TB) (opt violin) (accomp) (Courtney),1,1,1,1
10,The Gallant Knight,This Train,As The Holly Groweth Green,10,Tenor/Bass,CCNon-Varsity,,2,2,2,2,"As The Holly Groweth Green (a cappella) (Anon. or Trad./Crocker/Leavitt) This Train (accomp) (Anon. or Trad./Moore) The Gallant Knight (Patterson, Mark)",2,2,2,2
11,Bella Ciao,The Vagabond,Codfish Shanty,11,Tenor/Bass,CCNon-Varsity,,1,1,1,1,Codfish Shanty (accomp) (Anon. or Trad./Singh) The Vagabond (TB) (opt. accomp) (accomp) (Farnell) Bella Ciao (Traditional/Jones),2,2,2,2
12,All the World was Made for Me,I`m Bound Away,Sinner Man,12,Tenor/Bass,CCNon-Varsity,,2,2,2,2,Sinner Man (TB) (accomp) (Anon. or Trad./Emerson) I`m Bound Away (TB) (accomp) (Anon. or Trad./Patterson) All the World was Made for Me (TB)(a cappella or accomp) (a cappella) (Farnell),1,1,1,1
13,Aura Lee,Loch Lomond,Cantate Domino,13,Tenor/Bass,CCNon-Varsity,,1,1,1,1,Cantate Domino (TTB)(accomp opt) (a cappella) (Farnell) Loch Lomond (TB) (accomp) (Anon. or Trad./Rentz) Aura Lee (Crocker),1,1,1,1
14,Can of Grog,Rest Not,Sinner Man,14,Tenor/Bass,CCCNon-Varsity,,1,2,2,2,Sinner Man (TB) (accomp) (Anon. or Trad./Emerson) Rest Not (TB) (accomp) (Farnell) Can of Grog (),1,1,1,1
15,Haida,Poor Wayfaring Stranger,I Will Lift Up My Voice,15,Treble,CCVarsity,,1,1,1,1,I Will Lift Up My Voice  (Farnell) Poor Wayfaring Stranger (Jones) Haida (clarinet or sop sax & tambourine) (Anon. or Trad./McRae),1,1,1,1
16,"All Night, All Day",Dodi Li,I've Been in the Storm So Long,16,Treble,CCNon-Varsity,,1,1,1,1,"I've Been in the Storm So Long (opt descant)  (Traditional Spiritual/Jones) Dodi Li (SA, solo opt) (Chen/Rao) All Night, All Day (Gilpin)",1,1,1,1
17,The Storm Is Passing Over,Poor Wayfaring Stranger,Lux Aeterna,17,Treble,CCVarsity,,1,1,1,1,Lux Aeterna (SA)(a cappella or accomp) (a cappella) (Jones) Poor Wayfaring Stranger (SSA)(accomp or accapella) (Jones) The Storm Is Passing Over (Baker),1,1,1,1
18,Antiphonal Kyrie,Cantate,God Be In My Head,18,Treble,CCVarsity,,1,2,1,1,God Be In My Head (SA) (accomp) (Ramsey) Cantate (Latin) (2 part) (accomp) (Donnelly/Strid) Antiphonal Kyrie (SA) (a cappella) (Thrift),1,1,1,1
19,Dance of the Willow,A Mozart Canon,We Are the Music Makers,19,Treble,CCCNon-Varsity,,1,1,1,1,We Are the Music Makers (Mark Patterson) A Mozart Canon (SA) (accomp) (Anon. or Trad./Moore) Dance of the Willow (unison) (accomp) (Ebel- Sabo),2,2,2,2
20,Stars Are For Those Who Lift Their Eyes,Charlotte-Town,Laudate Dominum,20,Treble,CCCVarsity,,1,1,1,1,Laudate Dominum (Ruth Morris Gray) Charlotte-Town (SA) (accomp) (Anon. or Trad./Crocker) Stars Are For Those Who Lift Their Eyes (2 or 3 part) (keyboard or guitar) (solo opt) (accomp) (Delmonte),1,2,2,2
21,I've Been in the Storm,I Never Saw a Moor,J'etends le Moulin,21,Treble,CCVarsity,,1,1,1,1,J'etends le Moulin (Emily Crocker) I Never Saw a Moor  (Neil Ginsberg) I've Been in the Storm (Cristi Jones),1,1,2,1
22,How Can I Keep From Singing?,A Dream Within a Dream,For the Beauty of the Earth,22,Treble,CCVarsity,,1,1,1,1,For the Beauty of the Earth (Rutter) A Dream Within a Dream (Gray) How Can I Keep From Singing? (Lowrey/Crocker),1,1,1,1
23,Let Me Fly,Where Go The Boats,Clap Hands!,23,Treble,CCNon-Varsity,,1,1,1,1,Clap Hands! (Lee/Wagner) Where Go The Boats (Copley) Let Me Fly (Miller),1,2,1,1
24,Joshua Fit The Battle,Come and Sing Together,Alleluia! Sing Alleluia,24,Treble,CCSub,,1,1,1,1,Alleluia! Sing Alleluia (Johann Sebastian Bach/John Leavitt) Come and Sing Together (Anon or Trad./Terri) Joshua Fit The Battle (Greg Gilpin),1,2,1,1
25,Keep Your Lamps!,Dodi Li,Spring Quiet,25,Treble,CCNon-Varsity,,2,2,2,2,Spring Quiet  (Crocker ) Dodi Li (Rao ) Keep Your Lamps! (Victor C. Johnson),1,1,2,1
26,Ad Astra,"Heart, We Will Forget Him!",My Heart is Full of Merriment and Joy,26,Treble,CCVarsity,,1,1,1,1,"My Heart is Full of Merriment and Joy  (Harris ) Heart, We Will Forget Him!  (Farnell ) Ad Astra  (Jacob Naverud )",1,1,1,1
27,Homeward Bound,Illumina oculos meos,Cirandeiro,27,Treble,CVarsity,,1,1,1,1,Cirandeiro (Join in the Dance) (2 part) (accomp) (Anon. or Trad./Green) Illumina oculos meos (Latin) (SSA) (a cappella) (Palestrina/Leavitt) Homeward Bound (Keen/Patterson),1,1,1,1
28,Simple Gifts,Prettier Far than These,Song of the River,28,Treble,CNon-Varsity,,2,1,1,1,Song of the River (unison) (accomp) (Anon. or Trad./Patterson) Prettier Far than These (unison opt 2 part) (accomp) (Beery) Simple Gifts (Anon. or Trad./Wheeler),1,1,1,1
29,Paint Me,Dodi Li,Rise Up in Festive Song,29,Treble,CCVarsity,,2,2,2,2,"Rise Up in Festive Song (SSA) (opt h& drum & finger cymbals or triagle) (a cappella) (Clereau) Dodi Li (SA, solo opt) (accomp) (Chen/Rao) Paint Me ()",3,3,3,3
30,Duermete,I Want to Rise,Hashivenu,30,Treble,CCNon-Varsity,,1,1,1,1,Hashivenu (sing version 2) (3 part canon) (a cappella) (Anon. or Trad./Rao) I Want to Rise (SA) (accomp) (Weston) Duermete (The Angels` Lullaby) (SA)(Spanish) (accomp) (Spanish Folk Song/Johnson),2,1,1,1
31,Mo Li Hua,I've Been in the Storm So Long,A Festive Alleluia,31,Treble,CCVarsity,,1,1,1,1,A Festive Alleluia (SA ONLY) (accomp) (Lightfoot) I've Been in the Storm So Long (SA) (opt descant) (opt piano) (a cappella) (Traditional Spiritual/Jones) Mo Li Hua (Jill Galina),1,1,1,1
32,Perfect Day,Jubilate Deo,Elijah Rock!,32,Treble,CCNon-Varsity,,1,2,1,1,Elijah Rock! (Emerson) Jubilate Deo (Praetorius/arr. by Rao) Perfect Day (Towns/ arr. by Brinsmead),1,1,2,1
33,J`entends le moulin,Spring Quiet,Ode to Peace,33,Treble,CCNon-Varsity,,1,1,1,1,Ode to Peace (2 part) (opt brass quintet) (accomp) (Gallina) Spring Quiet (SA) (a cappella) (Crocker/Leavitt) J`entends le moulin (I Hear the Windmill) (SA) (accomp) (French Canadian Folk Song/Crocker),1,1,1,1
34,Love In Thy Youth,Night Song,When I Am Silent,34,Treble,CCNon-Varsity,,1,2,2,2,When I Am Silent (accomp) (Varner) Night Song (SA) (accomp) (Hester) Love In Thy Youth (SA) (a cappella) (Crocker/Leavitt),1,1,1,1
35,Make a Joyful Noise Unto the Lord,Rise Up in Festive Song,Pie jesu,35,Treble,CCVarsity,,2,2,2,2,Pie jesu (SSA) (accomp) (Lightfoot) Rise Up in Festive Song (SSA) (opt h& drum & finger cymbals or triagle) (a cappella) (Clereau) Make a Joyful Noise Unto the Lord (accomp) (Knowles),1,1,1,1
36,All The Pretty Little Horses,A Maiden`s Song,Make a Joyful Noise Unto the Lord,36,Treble,CCNon-Varsity,,1,1,1,1,Make a Joyful Noise Unto the Lord (accomp) (Knowles) A Maiden`s Song (SSA) (a cappella) (Crocker) All The Pretty Little Horses (2 part) (keyboard & percussion) (accomp) (Artman),1,1,1,1
37,The Little Land,The Hurricane,El Vito,37,Treble,CCCNon-Varsity,,1,1,1,1,El Vito (SA) ( w/ opt descant) (accomp) (Anon. or Trad./Crocker) The Hurricane (SSA opt) (accomp) (Thomas) The Little Land (Tim Winebrenner),1,1,1,1
38,Sourwood Mountain,Wishing Star,Who Has Seen the Wind,38,Treble,CCCNon-Varsity,,1,1,1,1,Who Has Seen the Wind (SA) (accomp) (Lightfoot) Wishing Star (accomp) (Bolton/Farnell) Sourwood Mountain (E.C.),1,2,1,1
